Version;Implicit;DataOwnerCode;DestCode;DestNameFull;DestNameMain;DestNameDetail;RelevantDestNameDetail;DestNameMain21;DestNameDetail21;DestNameMain19;DestNameDetail19;DestNameMain16;DestNameDetail16;DestIcon;DestColor
1;true;CXX;A00100998;Arnhem Het Duifje;Arnhem;Het Duifje;false;Arnhem;Het Duifje;Arnhem;Het Duifje;Arnhem;Het Duifje;;
1;true;CXX;A00101010;Arnhem CS ;Arnhem CS;;false;Arnhem CS;;Arnhem CS;;Arnhem CS;;;
1;true;CXX;A00101011;Arnhem Schouwburg;Arnhem;Schouwburg;false;Arnhem;Schouwburg;Arnhem;Schouwburg;Arnhem;Schouwburg;;
1;true;CXX;A00101013;Arnhem CS ;Arnhem CS;;false;Arnhem CS;;Arnhem CS;;Arnhem CS;;;
1;true;CXX;A00101019;Arnhem Velperplein;Arnhem;Velperplein;false;Arnhem;Velperplein;Arnhem;Velperplein;Arnhem;Velperplein;;
1;true;CXX;A00101020;Arnhem Station Velperpoort;Arnhem;Station Velperpo;false;Arnhem;Station Velperpo;Arnhem;Station Velperpo;Arnhem;Station Velperpo;;
1;true;CXX;A00101102;Oosterbeek ;Oosterbeek;;false;Oosterbeek;;Oosterbeek;;Oosterbeek;;;
1;true;CXX;A00101114;Velp ;Velp;;false;Velp;;Velp;;Velp;;;
1;true;CXX;A00132046;Oosterbeek ;Oosterbeek;;false;Oosterbeek;;Oosterbeek;;Oosterbeek;;;
1;true;CXX;A00200990;De Laar West ;De Laar West;;false;De Laar West;;De Laar West;;De Laar West;;;
1;true;CXX;A00200999;Hoogkamp ;Hoogkamp;;false;Hoogkamp;;Hoogkamp;;Hoogkamp;;;
1;true;CXX;A00201010;Arnhem CS ;Arnhem CS;;false;Arnhem CS;;Arnhem CS;;Arnhem CS;;;
1;true;CXX;A00201013;Arnhem CS ;Arnhem CS;;false;Arnhem CS;;Arnhem CS;;Arnhem CS;;;
1;true;CXX;A00201110;Schaarsbergen IPC;Schaarsbergen;IPC;false;Schaarsbergen;IPC;Schaarsbergen;IPC;Schaarsbergen;IPC;;
1;true;CXX;A00201111;Schaarsbergen Koningsweg;Schaarsbergen;Koningsweg;false;Schaarsbergen;Koningsweg;Schaarsbergen;Koningsweg;Schaarsbergen;Koningsweg;;
1;true;CXX;A00201112;Schaarsbergen Oranje Kazerne;Schaarsbergen;Oranje Kazerne;false;Schaarsbergen;Oranje Kazerne;Schaarsbergen;Oranje Kazerne;Schaarsbergen;Oranje Kazerne;;
1;true;CXX;A00232644;Arnhem CS ;Arnhem CS;;false;Arnhem CS;;Arnhem CS;;Arnhem CS;;;
1;true;CXX;A00300984;Arnhem Airborneplein;Arnhem;Airborneplein;false;Arnhem;Airborneplein;Arnhem;Airborneplein;Arnhem;Airborneplein;;
1;true;CXX;A00300985;Arnhem Alteveer;Arnhem;Alteveer;false;Arnhem;Alteveer;Arnhem;Alteveer;Arnhem;Alteveer;;
1;true;CXX;A00300988;Arnhem Cranevelt;Arnhem;Cranevelt;false;Arnhem;Cranevelt;Arnhem;Cranevelt;Arnhem;Cranevelt;;
1;true;CXX;A00300998;Het Duifje ;Het Duifje;;false;Het Duifje;;Het Duifje;;Het Duifje;;;
1;true;CXX;A00301010;Arnhem CS ;Arnhem CS;;false;Arnhem CS;;Arnhem CS;;Arnhem CS;;;
1;true;CXX;A00301013;Arnhem CS ;Arnhem CS;;false;Arnhem CS;;Arnhem CS;;Arnhem CS;;;
1;true;CXX;A00301020;Arnhem Velperpoort NS;Arnhem;Velperpoort NS;false;Arnhem;Velperpoort NS;Arnhem;Velperpoort NS;Arnhem;Velperpoort NS;;
1;true;CXX;A00301024;Arnhem v. Muylwijkstraat;Arnhem;v. Muylwijkstraa;false;Arnhem;v. Muylwijkstraa;Arnhem;v. Muylwijkstraa;Arnhem;v. Muylwijkstraa;;
1;true;CXX;A00301028;Burgers Zoo Openl.Museum;Burgers Zoo;Openl.Museum;false;Burgers Zoo;Openl.Museum;Burgers Zoo;Openl.Museum;Burgers Zoo;Openl.Museum;;
1;true;CXX;A00301114;Velp Beekhuizenseweg;Velp;Beekhuizenseweg;false;Velp;Beekhuizenseweg;Velp;Beekhuizenseweg;Velp;Beekhuizenseweg;;
1;true;CXX;A00332644;Arnhem CS ;Arnhem CS;;false;Arnhem CS;;Arnhem CS;;Arnhem CS;;;
1;true;CXX;A00400989;Arnhem De Laar Oost;Arnhem;De Laar Oost;false;Arnhem;De Laar Oost;Arnhem;De Laar Oost;Arnhem;De Laar Oost;;
1;true;CXX;A00400992;Elderveld ;Elderveld;;false;Elderveld;;Elderveld;;Elderveld;;;
1;true;CXX;A00400998;Het Duifje ;Het Duifje;;false;Het Duifje;;Het Duifje;;Het Duifje;;;
1;true;CXX;A00401003;Arnhem Kronenburg;Arnhem;Kronenburg;false;Arnhem;Kronenburg;Arnhem;Kronenburg;Arnhem;Kronenburg;;
1;true;CXX;A00401010;Arnhem CS ;Arnhem CS;;false;Arnhem CS;;Arnhem CS;;Arnhem CS;;;
1;true;CXX;A00401013;Arnhem CS ;Arnhem CS;;false;Arnhem CS;;Arnhem CS;;Arnhem CS;;;
