Version;Implicit;DataOwnerCode;LinePlanningNumber;LinePublicNumber;LineName;LineVeTagNumber;Description;TransportType;LineIcon;LineColor;LineTextColor
1;true;CXX;A001;1;Oosterbeek - Velp;1;;BUS;;;
1;true;CXX;A002;2;Arnhem CS - De Laar West;2;;BUS;;;
1;true;CXX;A003;3;Arnhem Burgers Zoo - Het Duifje;3;;BUS;;;
1;true;CXX;A004;4;Arnhem CS - Kronenburg;4;;BUS;;;
1;true;CXX;A005;5;Arnhem Schuytgraaf - Presikhaaf;5;;BUS;;;
1;true;CXX;A006;6;Arnhem De Laar West - Elsweide;6;;BUS;;;
1;true;CXX;A007;7;Arnhem Geitenkamp - Rijkerswoerd;7;;BUS;;;
1;true;CXX;A008;8;Velp - Arnhem CS;8;;BUS;;;
1;true;CXX;A009;9;Schaarsbergen - Arnhem CS;9;;BUS;;;
1;true;CXX;A010;10;Arnhem CS - Papendal;10;;BUS;;;
1;true;CXX;A011;11;Station Arnhem Zuid - Het Duifje;11;;BUS;;;
1;true;CXX;A012;12;Arnhem CS - IJsseloord 2;12;;BUS;;;
1;true;CXX;A013;13;Arnhem CS - Klarendal;13;;BUS;;;
1;true;CXX;A014;14;Arnhem CS - Elst - Nijmegen Brakkenstein;14;;BUS;;;
1;true;CXX;A026;26;Arnhem CS - Dieren Station;26;;BUS;;;
1;true;CXX;A027;27;Arnhem CS - Doetinchem;27;;BUS;;;
1;true;CXX;A029;29;Arnhem CS - Doetinchem;29;;BUS;;;
1;true;CXX;A033;33;Arnhem CS - Bemmel -  Nijmegen CS;33;;BUS;;;
1;true;CXX;A035;35;Bemmel - Elst - Zetten;35;;BUS;;;
1;true;CXX;A043;43;Apeldoorn Station - Arnhem CS;43;;BUS;;;
1;true;CXX;A051;51;Wageningen Station - Arnhem CS;51;;BUS;;;
1;true;CXX;A054;54;Wageningen - Heteren;54;;BUS;;;
1;true;CXX;A056;56;Wageningen Station - Arnhem CS;56;;BUS;;;
1;true;CXX;A060;60;Tolkamer Lobede - Arnhem CS;60;;BUS;;;
1;true;CXX;A061;61;Westervoort Station - Duiven Centerpoort Noord;61;;BUS;;;
1;true;CXX;A062;62;Duiven Centerpoort Noord - Arnhem CS;62;;BUS;;;
1;true;CXX;A066;66;Westervoort Station - Centerpoort Nieuwgraaf;66;;BUS;;;
1;true;CXX;A070;70;Giesbeek - Rozendaal;70;;BUS;;;
1;true;CXX;A071;71;Eerbeek - Rozendaal;71;;BUS;;;
1;true;CXX;A072;72;Arnhem CS - Huissen Bergerden;72;;BUS;;;
1;true;CXX;A078;78;Papendal - Beekdal Lyceum;78;;BUS;;;
1;true;CXX;A300;300;Arnhem CS - Nijmegen Heyendaal;300;;BUS;;;
1;true;CXX;A331;331;Velp Zuid - Nijmegen Weezenhof;331;;BUS;;;
1;true;CXX;A352;352;Wageningen Station - Arnhem CS;352;;BUS;;;
1;true;CXX;A524;524;Spankeren - Dieren Station;124;;BUS;;;
1;true;CXX;A525;525;Dieren Station - Dieren West;125;;BUS;;;
1;true;CXX;A526;526;Dieren Station - Dieren Noord;126;;BUS;;;
1;true;CXX;A556;556;Heteren - Elst;556;;BUS;;;
1;true;CXX;A560;560;Herwen - Zevenaar Ziekenhuis;160;;BUS;;;
1;true;CXX;A566;566;Spijk - Zevenaar Station;166;;BUS;;;
1;true;CXX;A589;589;Doorwerth De Weerd - Wolfheze Het Schild;189;;BUS;;;
1;true;CXX;A590;590;Doorwerth De Weerd - Wolfheze Het Schild;190;;BUS;;;
1;true;CXX;C144;144;Harderwijk - Zeewolde;144;;BUS;;;
1;true;CXX;E625;625;Zeewolde - Amersfoort;225;;BUS;;;
1;true;CXX;F021;21;Dronten stadsdienst;21;;BUS;;;
1;true;CXX;F022;22;Dronten stadsdienst;22;;BUS;;;
1;true;CXX;F032;N32;Hilversum - Huizen;32;;BUS;;;
1;true;CXX;F100;100;Bussum - Blaricum;100;;BUS;;;
1;true;CXX;F101;101;Bussum - Blaricum;101;;BUS;;;
1;true;CXX;F104;104;Hilversum - Nieuw Loosdrecht;104;;BUS;;;
1;true;CXX;F105;105;Bussum - Hilversum;105;;BUS;;;
1;true;CXX;F106;106;Weesp - Nederhorst den Berg;106;;BUS;;;
1;true;CXX;F107;107;Huizen - Hilversum;107;;BUS;;;
1;true;CXX;F108;108;Huizen - Hilversum;108;;BUS;;;
1;true;CXX;F109;109;Bussum - Hilversum;109;;BUS;;;
1;true;CXX;F110;110;Bussum - Weesp;110;;BUS;;;
1;true;CXX;F140;140;Emmeloord - Lelystad;140;;BUS;;;
1;true;CXX;F142;142;Nijkerk - Zeewolde - Harderwijk;142;;BUS;;;
1;true;CXX;F143;143;Kampen - Dronten;143;;BUS;;;
1;true;CXX;F145;145;Lelystad - Swifterbant;145;;BUS;;;
1;true;CXX;F146;146;Emmeloord - Dronten;146;;BUS;;;
1;true;CXX;F147;147;Harderwijk - Dronten;147;;BUS;;;
1;true;CXX;F148;148;Lelystad - Harderwijk;148;;BUS;;;
1;true;CXX;F149;149;Urk - Nagele;149;;BUS;;;
1;true;CXX;F159;159;Almere Stad - Zeewolde - Harderwijk;159;;BUS;;;
1;true;CXX;F160;160;Almere - Zeewolde;160;;BUS;;;
1;true;CXX;F163;163;Lelystad - Dronten;163;;BUS;;;
1;true;CXX;F164;164;Swifterbant - Lelystad via Runderweg;64;;BUS;;;
1;true;CXX;F202;202;Blaricum - Amsterdam;202;;BUS;;;
1;true;CXX;F209;209;Blaricum - Amsterdam;209;;BUS;;;
1;true;CXX;F210;210;Bussum - Weesp;110;;BUS;;;
1;true;CXX;F301;1;Hilversum Station - Kerkelanden;301;;BUS;;;
1;true;CXX;F302;2;Hilversum Station - Erfgooierskwartier;302;;BUS;;;
1;true;CXX;F303;3;Hilversum Station - Tergooi Ziekenhuis;303;;BUS;;;
1;true;CXX;F320;320;Amsterdam - Hilversum;320;;BUS;;FF0000;FFFFFF
1;true;CXX;F602;602;Naarden - Amsterdam;202;;BUS;;;
1;true;CXX;F609;609;Blaricum - Amsterdam;609;;BUS;;;
1;true;CXX;F663;663;Lelystad - Kampen Pieter Zandt;263;;BUS;;;
1;true;CXX;G011;11;Kampen Station - Flevowijk - Bovenbroek;11;;BUS;;;
1;true;CXX;G141;141;Kampen - Emmeloord - Urk;141;;BUS;;;
1;true;CXX;G506;506;Wilsum - Kampen - Hattem;106;;BUS;;;
1;true;CXX;G641;641;Zwolle - Kampen - Emmeloord - Urk;241;;BUS;;;
1;true;CXX;G681;681;Urk - Emmeloord - Kampen;181;;BUS;;;
1;true;CXX;H001;1;Alkmaar Station - de Hoef;60;;BUS;;FF0000;FFFFFF
1;true;CXX;H002;2;Alkmaar Daalmeer - Station - Overdie;2;;BUS;;00CCFF;000000
1;true;CXX;H003;3;Alkmaar Station - De Mare - Daalmeer;3;;BUS;;FF99FF;FFFFFF
1;true;CXX;H004;4;Alkmaar Station - Vroonermeer - Daalmeer;4;;BUS;;66CC33;000000
1;true;CXX;H008;8;Alkmaar Station - Bestevaerstraat;8;;BUS;;FFCC00;000000
1;true;CXX;H010;10;St. Pancras - Alkmaar Station;10;;BUS;;0000FF;FFFFFF
1;true;CXX;H011;11;Hoorn Station - Zwaag Risdam;11;;BUS;;FF0000;FFFFFF
1;true;CXX;H014;14;Luslijn Hoorn Station - Kersenboogerd;14;;BUS;;0000FF;FFFFFF
1;true;CXX;H028;28;Texel Veerhaven - Den Burg - De Koog;28;;BUS;;;
1;true;CXX;H030;30;Den Helder Station - Station Zuid - Julianadorp;30;;BUS;;FF0000;FFFFFF
1;true;CXX;H031;31;Den Helder Station Zuid - Den Helder Station;31;;BUS;;66CC33;000000
1;true;CXX;H033;33;Den Helder Station - Veerhaven;33;;BUS;;00CCFF;000000
1;true;CXX;H034;34;Den Helder Station - De Schooten;34;;BUS;;FF99FF;FFFFFF
1;true;CXX;H123;123;Alkmaar Station - De Rijp - Alkmaar Station;123;;BUS;;00CCFF;000000
1;true;CXX;H128;128;Hoorn Station - Noordbeemster;128;;BUS;;FF99FF;FFFFFF
1;true;CXX;H129;129;Alkmaar Station - Noordbeemster - P'rend Tramplein;129;;BUS;;CC99FF;FFFFFF
1;true;CXX;H132;132;Hoorn Station - Wervershoof - Andijk;132;;BUS;;FFCC00;000000
1;true;CXX;H133;133;Hoorn Station - Wognum - Opmeer - Hoogwoud;133;;BUS;;66CC33;000000
1;true;CXX;H134;134;Hoorn Station - Abbekerk Dorp - Wieringerwerf;134;;BUS;;00CCFF;000000
1;true;CXX;H135;135;Hoorn Station - Wieringerwerf - Den Helder;135;;BUS;;FFFF00;000000
1;true;CXX;H136;136;Nibbixwoud - Oostwoud - Hoorn Station;136;;BUS;;0000FF;FFFFFF
1;true;CXX;H139;139;Hoorn Station - Abbekerk - Opperdoes - Medemblik;139;;BUS;;CC99FF;FFFFFF
1;true;CXX;H151;151;Alkmaar Station - Petten;151;;BUS;;CC99FF;FFFFFF
1;true;CXX;H152;152;Schagen Station - Callantsoog;152;;BUS;;FFCC00;000000
1;true;CXX;H156;156;Warmenhuizen - Schagen Station;156;;BUS;;FF99FF;FFFFFF
1;true;CXX;H157;157;Alkmaar Station - Tuitjenhorn;157;;BUS;;0000FF;FFFFFF
1;true;CXX;H160;160;Alkmaar Station - Heerhugowaard;160;;BUS;;FFFF00;000000
1;true;CXX;H162;162;Alkmaar Station - Heerhugowaard Icaruslaan;162;;BUS;;FF0000;FFFFFF
1;true;CXX;H163;163;Alkmaar Station - Akersloot - Uitgeest;163;;BUS;;FFCC00;000000
1;true;CXX;H164;164;Castricum Station - Egmond Binnen - Egmond aan Zee;164;;BUS;;FF0000;FFFFFF
1;true;CXX;H165;165;Alkmaar Station -  Egmond a/Zee;165;;BUS;;66CC33;000000
1;true;CXX;H166;166;Bergen - Alkmaar Station;166;;BUS;;CC99FF;FFFFFF
1;true;CXX;H167;167;Castricum Station - Alkmaar Station;167;;BUS;;FF99FF;FFFFFF
1;true;CXX;H169;169;Alkmaar Station - Oudkarspel;169;;BUS;;FFFF00;000000
1;true;CXX;H232;232;Hoorn Station - Blokker - Wervershoof - Andijk;232;;BUS;;CC99FF;FFFFFF
1;true;CXX;H250;250;Middenmeer - Alkmaar Station;250;;BUS;;0000FF;FFFFFF
1;true;CXX;H251;251;Alkmaar Station - Petten via ECN;251;;BUS;;FFCC00;000000
1;true;CXX;H260;N60;Alkmaar Station - Heerhugowaard;60;;BUS;;FFFF00;000000
1;true;CXX;H269;N69;Amsterdam Elandsgracht - Alkmaar Station;69;;BUS;;FF99FF;FFFFFF
1;true;CXX;H406;406;Schagen Station - Zijdewind - Waarland;406;;BUS;;AFB4B9;000000
1;true;CXX;H407;407;Buurtbus Heerhugowaard;407;;BUS;;AFB4B9;000000
1;true;CXX;H408;408;Heiloo 't Loo - Egmond aan Zee;8;;BUS;;AFB4B9;000000
1;true;CXX;H409;409;Obdam - Ursem - Heerhugowaard;409;;BUS;;AFB4B9;000000
1;true;CXX;H410;410;Egmond aan Zee - Schoorl;10;;BUS;;AFB4B9;000000
1;true;CXX;H411;411;Tuitjenhorn - Schagen Station;411;;BUS;;AFB4B9;000000
1;true;CXX;H412;412;Hoorn Station - Hem - Hoogkarspel - Bovenkarspel;12;;BUS;;AFB4B9;000000
1;true;CXX;H415;415;Medemblik - Wervershoof - Westwoud - Hoorn Station;415;;BUS;;AFB4B9;000000
1;true;CXX;H416;416;Kreileroord - Schagen Station;416;;BUS;;AFB4B9;000000
1;true;CXX;H417;417;Schagen Station - Obdam;17;;BUS;;AFB4B9;000000
1;true;CXX;H438;438;Enkhuizen - Bovenkarspel - Wervershoof;438;;BUS;;AFB4B9;000000
1;true;CXX;H606;606;Alkmaar Station - Bergen Europese School;606;;BUS;;FF0000;FFFFFF
1;true;CXX;H612;612;Hoorn Station - Hem - Hoogkarspel - Bovenkarspel;612;;BUS;;FF99FF;FFFFFF
1;true;CXX;H617;617;Hoogwoud - Obdam;617;;BUS;;FFCC00;000000
1;true;CXX;H636;636;Aartswoud - Hoogwoud - Hoorn Station;636;;BUS;;FFFF00;000000
1;true;CXX;H650;650;Lelystad - Enkhuizen - Wervershoof;650;;BUS;;FFFF00;000000
1;true;CXX;H652;652;Den Helder Station - Schagen Station;652;;BUS;;CC99FF;FFFFFF
1;true;CXX;H653;653;Kreileroord - Wieringerwerf - Middenmeer - Schagen;653;;BUS;;FF0000;FFFFFF
1;true;CXX;H655;655;Medemblik Station - Kreileroord - Wieringerwerf;655;;BUS;;0000FF;FFFFFF
1;true;CXX;H658;658;Schagen Station - Anna Paulowna Station;658;;BUS;;66CC33;000000
1;true;CXX;H660;660;Alkmaar Station - Alkmaar Hogeschool;660;;BUS;;00CCFF;000000
1;true;CXX;H923;FLX;Overal Flex Alkmaar;923;;BUS;;;
1;true;CXX;H928;TXL;Texelhopper;928;;BUS;;;
1;true;CXX;H936;FLX;Overal Flex Hoorn;936;;BUS;;;
1;true;CXX;H952;FLX;Overal Flex Schagen;952;;BUS;;;
1;true;CXX;H956;FLX;Overal Flex Winkel;956;;BUS;;;
1;true;CXX;H958;FLX;Overal Flex Anna Paulowna;958;;BUS;;;
1;true;CXX;H964;FLX;Overal Flex Castricum;964;;BUS;;;
1;true;CXX;H967;FLX;Overal Flex Heiloo;967;;BUS;;;
1;true;CXX;L002;2;Eindhoven Blixembosch Oost - Station;2;;BUS;;;
1;true;CXX;L003;3;Eindhoven Blixembosch West - Station;3;;BUS;;;
1;true;CXX;L004;4;Eindhoven Heesterakker - Station;4;;BUS;;;
1;true;CXX;L005;5;Eindhoven 't Hofke - Station;5;;BUS;;;
1;true;CXX;L006;6;Nuenen - Eindhoven Station;6;;BUS;;;
1;true;CXX;L007;7;Veldhoven MMC - Eindhoven Station;7;;BUS;;;
1;true;CXX;L008;8;Acht - Station;8;;BUS;;;
1;true;CXX;L009;9;Best Station - Eindhoven Station;9;;BUS;;;
1;true;CXX;L010;10;Eindhoven Airport - Eindhoven Station;10;;BUS;;;
1;true;CXX;L011;11;Weert Station - Maarheeze - Eindhoven Station;11;;BUS;;;
1;true;CXX;L012;12;Eindhoven Gijzenrooi - Eindhoven Station;12;;BUS;;;
1;true;CXX;L014;14;Veldhoven Centrum - De Hurk - Eindhoven Station;14;;BUS;;;
