Version;Implicit;DataOwnerCode;UserStopCode;TimingPointCode;GetIn;GetOut;Name;Town;UserStopAreaCode;StopSideCode;RoadSideEqDataOwnerCode;RoadSideEqUnitNumber;MinimalStopTime;StopSideLength;Description;UserStopType;QuayCode
1;true;CXX;11010100;11010100;1;1;Antwerpen, Metrostation Halewijnlaan;Antwerpen;anthal;;;;0;;;PASSENGER;
1;true;CXX;11010110;11010110;1;1;Antwerpen, Metrostation Halewijnlaan;Antwerpen;anthal;;;;0;;;PASSENGER;
1;true;CXX;16000010;16000010;1;1;Meppel, Station;Meppel;mplns;;;;0;;;PASSENGER;
1;true;CXX;16000160;16000160;1;1;Meppel, Hugo de Grootstraat;Meppel;mplhug;;;;0;;;PASSENGER;
1;true;CXX;16000170;16000170;1;1;Meppel, Hugo de Grootstraat;Meppel;mplhug;;;;0;;;PASSENGER;
1;true;CXX;16000180;16000180;1;1;Meppel, Steenwijkerstraatweg;Meppel;mplste;;;;0;;;PASSENGER;
1;true;CXX;16000190;16000190;1;1;Meppel, Steenwijkerstraatweg;Meppel;mplste;;;;0;;;PASSENGER;
1;true;CXX;16000600;16000600;1;1;Meppel, Burgem. Knopperslaan;Meppel;mplbur;;;;0;;;PASSENGER;
1;true;CXX;16000610;16000610;1;1;Meppel, Burgem. Knopperslaan;Meppel;mplbur;;;;0;;;PASSENGER;
1;true;CXX;16005000;16005000;1;1;Meppel, Station;Meppel;mplns;;;;0;;;PASSENGER;
1;true;CXX;16180050;16180050;1;1;Staphorst, Redder;Staphorst;sthred;;;;0;;;PASSENGER;
1;true;CXX;16180060;16180060;1;1;Staphorst, Redder;Staphorst;sthred;;;;0;;;PASSENGER;
1;true;CXX;16180070;16180070;1;1;Staphorst, Reggersweg;Staphorst;;;;;0;;;PASSENGER;
1;true;CXX;16180080;16180080;1;1;Staphorst, Reggersweg;Staphorst;;;;;0;;;PASSENGER;
1;true;CXX;16180100;16180100;1;1;Staphorst, Vlakkenweg;Staphorst;sthvla;;;;0;;;PASSENGER;
1;true;CXX;16180110;16180110;1;1;Staphorst, Vlakkenweg;Staphorst;sthvla;;;;0;;;PASSENGER;
1;true;CXX;16180120;16180120;1;1;Staphorst, Geerligsland;Staphorst;;;;;0;;;PASSENGER;
1;true;CXX;16180130;16180130;1;1;Staphorst, Geerligsland;Staphorst;;;;;0;;;PASSENGER;
1;true;CXX;16180140;16180140;1;1;Staphorst, Jan Arendsland;Staphorst;;;;;0;;;PASSENGER;
1;true;CXX;16180150;16180150;1;1;Staphorst, Jan Arendsland;Staphorst;;;;;0;;;PASSENGER;
1;true;CXX;16180160;16180160;1;1;Staphorst, Snelweg;Staphorst;sthsne;;;;0;;;PASSENGER;
1;true;CXX;16180170;16180170;1;1;Staphorst, Snelweg;Staphorst;sthsne;;;;0;;;PASSENGER;
1;true;CXX;16180180;16180180;1;1;Staphorst, Achthoevenweg;Staphorst;;;;;0;;;PASSENGER;
1;true;CXX;16180190;16180190;1;1;Staphorst, Achthoevenweg;Staphorst;;;;;0;;;PASSENGER;
1;true;CXX;16180200;16180200;1;1;Staphorst, Hoogeweg;Staphorst;;;;;0;;;PASSENGER;
1;true;CXX;16180210;16180210;1;1;Staphorst, Hoogeweg;Staphorst;;;;;0;;;PASSENGER;
1;true;CXX;16180220;16180220;1;1;Staphorst, Bergerslag;Staphorst;;;;;0;;;PASSENGER;
1;true;CXX;16180230;16180230;1;1;Staphorst, Bergerslag;Staphorst;;;;;0;;;PASSENGER;
1;true;CXX;16180240;16180240;1;1;Staphorst, Gemeentehuis;Staphorst;sthgem;;;;0;;;PASSENGER;
1;true;CXX;16180250;16180250;1;1;Staphorst, Gemeentehuis;Staphorst;sthgem;;;;0;;;PASSENGER;
1;true;CXX;16180340;16180340;1;1;Staphorst, Pieterzandtcollege;Staphorst;sthpzs;;;;0;;;PASSENGER;
1;true;CXX;16280110;16280110;1;1;Rouveen, Oostermenneweg;Rouveen;;;;;0;;;PASSENGER;
1;true;CXX;16280130;16280130;1;1;Rouveen, Zuideindigerweg;Rouveen;;;;;0;;;PASSENGER;
1;true;CXX;16280140;16280140;1;1;Rouveen, Stadsweg;Rouveen;rousta;;;;0;;;PASSENGER;
1;true;CXX;16280150;16280150;1;1;Rouveen, Stadsweg;Rouveen;rousta;;;;0;;;PASSENGER;
1;true;CXX;16280160;16280160;1;1;Rouveen, Oude Rijksweg;Rouveen;;;;;0;;;PASSENGER;
1;true;CXX;16280170;16280170;1;1;Rouveen, Oude Rijksweg 485;Rouveen;;;;;0;;;PASSENGER;
1;true;CXX;16280180;16280180;1;1;Rouveen, Hervormde Kerk;Rouveen;rouher;;;;0;;;PASSENGER;
1;true;CXX;16280190;16280190;1;1;Rouveen, Hervormde Kerk;Rouveen;rouher;;;;0;;;PASSENGER;
1;true;CXX;16280200;16280200;1;1;Rouveen, Oude Rijksweg 415;Rouveen;;;;;0;;;PASSENGER;
1;true;CXX;16280210;16280210;1;1;Rouveen, Oude Rijksweg 415;Rouveen;;;;;0;;;PASSENGER;
1;true;CXX;16280220;16280220;1;1;Rouveen, Oude Geref. Kerk;Rouveen;;;;;0;;;PASSENGER;
1;true;CXX;16280230;16280230;1;1;Rouveen, Oude Geref. Kerk;Rouveen;;;;;0;;;PASSENGER;
