DestinationName50,DataOwnerCode,DestinationCode,DestinationName16,DestinationName30,DestinationDetail16,DestinationName24,DestinationDetail19,DestinationName19,DestinationDisplay16
Striphelden,KEOLIS,6026,Striphelden,Striphelden,,Striphelden,,Striphelden,
Station Centrum,KEOLIS,6015,Station Centrum,Station Centrum,,Station Centrum,,Station Centrum,
Station Centrum via Molenbuurt,KEOLIS,6139,Station Centrum,Station Centrum via Molenbuurt,via Molenbuurt,Station Centrum,via Molenbuurt,Station Centrum,
Striphelden via Molenbuurt,KEOLIS,6138,Striphelden,Striphelden via Molenbuurt,via Molenbuurt,Striphelden,via Molenbuurt,Striphelden,
Oostvaarders via Molenbuurt,KEOLIS,6140,Oostvaarders,Oostvaarders via Molenbuurt,via Molenbuurt,Oostvaarders,via Molenbuurt,Oostvaarders,
Oostvaarders,KEOLIS,6022,Oostvaarders,Oostvaarders,,Oostvaarders,,Oostvaarders,
Station Buiten via Molenbuurt,KEOLIS,6141,Station Buiten,Station Buiten via Molenbuurt,via Molenbuurt,Station Buiten,via Molenbuurt,Station Buiten,
Station Buiten,KEOLIS,6013,Station Buiten,Station Buiten,,Station Buiten,,Station Buiten,
DestinationName50,DataOwnerCode,DestinationCode,DestinationName16,DestinationName30,DestinationDetail16,DestinationName24,DestinationDetail19,DestinationName19,DestinationDisplay16
Station Centrum,KEOLIS,6015,Station Centrum,Station Centrum,,Station Centrum,,Station Centrum,
Muziekwijk,KEOLIS,6008,Muziekwijk,Muziekwijk,,Muziekwijk,,Muziekwijk,
DestinationName50,DataOwnerCode,DestinationCode,DestinationName16,DestinationName30,DestinationDetail16,DestinationName24,DestinationDetail19,DestinationName19,DestinationDisplay16
Station Centrum,KEOLIS,6015,Station Centrum,Station Centrum,,Station Centrum,,Station Centrum,
Muziekwijk,KEOLIS,6008,Muziekwijk,Muziekwijk,,Muziekwijk,,Muziekwijk,
DestinationName50,DataOwnerCode,DestinationCode,DestinationName16,DestinationName30,DestinationDetail16,DestinationName24,DestinationDetail19,DestinationName19,DestinationDisplay16
Station Centrum,KEOLIS,6015,Station Centrum,Station Centrum,,Station Centrum,,Station Centrum,
