TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M2,M2,KEOLIS,6702,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M2,M2,KEOLIS,6702,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M3,M3,KEOLIS,6703,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M3,M3,KEOLIS,6703,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M3,M3,KEOLIS,6703,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M3,M3,KEOLIS,6703,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M3,M3,KEOLIS,6703,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M3,M3,KEOLIS,6703,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M3,M3,KEOLIS,6703,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M4,M4,KEOLIS,6704,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M4,M4,KEOLIS,6704,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M4,M4,KEOLIS,6704,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M4,M4,KEOLIS,6704,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M4,M4,KEOLIS,6704,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M4,M4,KEOLIS,6704,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M4,M4,KEOLIS,6704,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M5,M5,KEOLIS,6705,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M5,M5,KEOLIS,6705,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M5,M5,KEOLIS,6705,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M5,M5,KEOLIS,6705,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M5,M5,KEOLIS,6705,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M5,M5,KEOLIS,6705,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M5,M5,KEOLIS,6705,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M6,M6,KEOLIS,6706,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M6,M6,KEOLIS,6706,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M6,M6,KEOLIS,6706,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M6,M6,KEOLIS,6706,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M6,M6,KEOLIS,6706,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M6,M6,KEOLIS,6706,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M6,M6,KEOLIS,6706,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M7,M7,KEOLIS,6707,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M7,M7,KEOLIS,6707,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M7,M7,KEOLIS,6707,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M7,M7,KEOLIS,6707,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M7,M7,KEOLIS,6707,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M7,M7,KEOLIS,6707,0
TransportType,LineName,LinePublicNumber,DataOwnerCode,LinePlanningNumber,LineVeTagNumber
BUS,M7,M7,KEOLIS,6707,0
