TimingPointName,TimingPointTown,TimingPointCode,DataOwnerCode
"Almere Stad, Waterwijk Oost",Almere Stad,58650130,ALGEMEEN
"Almere Stad, Staatsliedenwijk",Almere Stad,58650390,ALGEMEEN
"Almere Stad, Markerkant",Almere Stad,58650410,ALGEMEEN
"Almere Buiten, FBK Sportpark",Almere Buiten,58650630,ALGEMEEN
"Almere Stad, Waterwijk West",Almere Stad,58651090,ALGEMEEN
"Almere Stad, Station Centrum",Almere Stad,58655060,ALGEMEEN
"Almere Stad, Station Centrum",Almere Stad,58655210,ALGEMEEN
"Almere Buiten, Baltimoreplein",Almere Buiten,58750020,ALGEMEEN
"Almere Buiten, Station Buiten",Almere Buiten,58750066,ALGEMEEN
"Almere Buiten, Stripheldenbuurt-M.",Almere Buiten,58750080,ALGEMEEN
"Almere Buiten, Stripheldenbuurt-O.",Almere Buiten,58750170,ALGEMEEN
"Almere Buiten, Molenbuurt Zuid",Almere Buiten,58750220,ALGEMEEN
"Almere Buiten, Bouwmeesterbuurt-W.",Almere Buiten,58750280,ALGEMEEN
"Almere Buiten, Bouwmeesterbuurt-O.",Almere Buiten,58750320,ALGEMEEN
"Almere Buiten, Seizoenenbuurt Noord",Almere Buiten,58750360,ALGEMEEN
"Almere Buiten, Station Oostvaarders",Almere Buiten,58750371,ALGEMEEN
"Almere Buiten, Seizoenenbuurt Zuid",Almere Buiten,58750380,ALGEMEEN
"Almere Buiten, Oostvaardersbuurt",Almere Buiten,58750460,ALGEMEEN
"Almere Buiten, Sieradenbuurt",Almere Buiten,58750580,ALGEMEEN
"Almere Buiten, Stripheldenbuurt-Nrd",Almere Buiten,58750600,ALGEMEEN
"Almere Buiten, Molenbuurt Noord",Almere Buiten,58750700,ALGEMEEN
"Almere Stad, Staatsliedenwijk",Almere Stad,58650400,ALGEMEEN
"Almere Stad, Markerkant",Almere Stad,58650420,ALGEMEEN
"Almere Stad, Waterwijk Oost",Almere Stad,58650490,ALGEMEEN
"Almere Stad, Waterwijk West",Almere Stad,58651100,ALGEMEEN
"Almere Stad, Station Centrum",Almere Stad,58655100,ALGEMEEN
"Almere Buiten, Baltimoreplein",Almere Buiten,58750010,ALGEMEEN
"Almere Buiten, Station Buiten",Almere Buiten,58750078,ALGEMEEN
"Almere Buiten, Stripheldenbuurt-M.",Almere Buiten,58750090,ALGEMEEN
"Almere Buiten, Molenbuurt Zuid",Almere Buiten,58750210,ALGEMEEN
"Almere Buiten, FBK Sportpark",Almere Buiten,58750230,ALGEMEEN
"Almere Buiten, Bouwmeesterbuurt-W.",Almere Buiten,58750290,ALGEMEEN
"Almere Buiten, Bouwmeesterbuurt-O.",Almere Buiten,58750310,ALGEMEEN
"Almere Buiten, Seizoenenbuurt Zuid",Almere Buiten,58750390,ALGEMEEN
"Almere Buiten, Station Oostvaarders",Almere Buiten,58750400,ALGEMEEN
"Almere Buiten, Sieradenbuurt",Almere Buiten,58750570,ALGEMEEN
"Almere Buiten, Stripheldenbuurt-Nrd",Almere Buiten,58750590,ALGEMEEN
