UserStopCode,TimingPointCode,TimingPointDataOwnerCode,DataOwnerCode
58750010,58750010,ALGEMEEN,KEOLIS
58750078,58750078,ALGEMEEN,KEOLIS
58750090,58750090,ALGEMEEN,KEOLIS
58750170,58750170,ALGEMEEN,KEOLIS
58750210,58750210,ALGEMEEN,KEOLIS
58750390,58750390,ALGEMEEN,KEOLIS
58750400,58750400,ALGEMEEN,KEOLIS
58750570,58750570,ALGEMEEN,KEOLIS
58750590,58750590,ALGEMEEN,KEOLIS
58750710,58750710,ALGEMEEN,KEOLIS
58755500,58755500,ALGEMEEN,KEOLIS
58755530,58755530,ALGEMEEN,KEOLIS
58650130,58650130,ALGEMEEN,KEOLIS
58650390,58650390,ALGEMEEN,KEOLIS
58650410,58650410,ALGEMEEN,KEOLIS
58650630,58650630,ALGEMEEN,KEOLIS
58651090,58651090,ALGEMEEN,KEOLIS
58655060,58655060,ALGEMEEN,KEOLIS
58655210,58655210,ALGEMEEN,KEOLIS
58750020,58750020,ALGEMEEN,KEOLIS
58750066,58750066,ALGEMEEN,KEOLIS
58750080,58750080,ALGEMEEN,KEOLIS
58750220,58750220,ALGEMEEN,KEOLIS
58750280,58750280,ALGEMEEN,KEOLIS
58750320,58750320,ALGEMEEN,KEOLIS
58750360,58750360,ALGEMEEN,KEOLIS
58750371,58750371,ALGEMEEN,KEOLIS
58750380,58750380,ALGEMEEN,KEOLIS
58750460,58750460,ALGEMEEN,KEOLIS
58750580,58750580,ALGEMEEN,KEOLIS
58750600,58750600,ALGEMEEN,KEOLIS
58750700,58750700,ALGEMEEN,KEOLIS
58650400,58650400,ALGEMEEN,KEOLIS
58650420,58650420,ALGEMEEN,KEOLIS
58650490,58650490,ALGEMEEN,KEOLIS
58651100,58651100,ALGEMEEN,KEOLIS
58655100,58655100,ALGEMEEN,KEOLIS
58750230,58750230,ALGEMEEN,KEOLIS
58750290,58750290,ALGEMEEN,KEOLIS
58750310,58750310,ALGEMEEN,KEOLIS
UserStopCode,TimingPointCode,TimingPointDataOwnerCode,DataOwnerCode
58650070,58650070,ALGEMEEN,KEOLIS
58650090,58650090,ALGEMEEN,KEOLIS
58650110,58650110,ALGEMEEN,KEOLIS
58650270,58650270,ALGEMEEN,KEOLIS
58650290,58650290,ALGEMEEN,KEOLIS
58650310,58650310,ALGEMEEN,KEOLIS
58650390,58650390,ALGEMEEN,KEOLIS
58650850,58650850,ALGEMEEN,KEOLIS
58651070,58651070,ALGEMEEN,KEOLIS
58655120,58655120,ALGEMEEN,KEOLIS
58650040,58650040,ALGEMEEN,KEOLIS
58650060,58650060,ALGEMEEN,KEOLIS
58650080,58650080,ALGEMEEN,KEOLIS
58650120,58650120,ALGEMEEN,KEOLIS
58650280,58650280,ALGEMEEN,KEOLIS
58650320,58650320,ALGEMEEN,KEOLIS
58650400,58650400,ALGEMEEN,KEOLIS
58650840,58650840,ALGEMEEN,KEOLIS
58651080,58651080,ALGEMEEN,KEOLIS
UserStopCode,TimingPointCode,TimingPointDataOwnerCode,DataOwnerCode
58650070,58650070,ALGEMEEN,KEOLIS
58650090,58650090,ALGEMEEN,KEOLIS
58650110,58650110,ALGEMEEN,KEOLIS
58650270,58650270,ALGEMEEN,KEOLIS
58650290,58650290,ALGEMEEN,KEOLIS
58650310,58650310,ALGEMEEN,KEOLIS
58650390,58650390,ALGEMEEN,KEOLIS
58650850,58650850,ALGEMEEN,KEOLIS
58651070,58651070,ALGEMEEN,KEOLIS
58655120,58655120,ALGEMEEN,KEOLIS
58650040,58650040,ALGEMEEN,KEOLIS
58650060,58650060,ALGEMEEN,KEOLIS
58650080,58650080,ALGEMEEN,KEOLIS
58650120,58650120,ALGEMEEN,KEOLIS
58650280,58650280,ALGEMEEN,KEOLIS
58650320,58650320,ALGEMEEN,KEOLIS
58650400,58650400,ALGEMEEN,KEOLIS
58650840,58650840,ALGEMEEN,KEOLIS
58651080,58651080,ALGEMEEN,KEOLIS
UserStopCode,TimingPointCode,TimingPointDataOwnerCode,DataOwnerCode
58650070,58650070,ALGEMEEN,KEOLIS
58650090,58650090,ALGEMEEN,KEOLIS
58650110,58650110,ALGEMEEN,KEOLIS
58650270,58650270,ALGEMEEN,KEOLIS
58650290,58650290,ALGEMEEN,KEOLIS
58650310,58650310,ALGEMEEN,KEOLIS
58650390,58650390,ALGEMEEN,KEOLIS
58650850,58650850,ALGEMEEN,KEOLIS
58651070,58651070,ALGEMEEN,KEOLIS
58655120,58655120,ALGEMEEN,KEOLIS
58650040,58650040,ALGEMEEN,KEOLIS
58650060,58650060,ALGEMEEN,KEOLIS
58650080,58650080,ALGEMEEN,KEOLIS
58650120,58650120,ALGEMEEN,KEOLIS
58650280,58650280,ALGEMEEN,KEOLIS
58650320,58650320,ALGEMEEN,KEOLIS
