ShowCancelledTrip,Monitored,VejoArrivalTime,MonitoringError,ShowFlexibleTrip,CancelledCall,TimingPointCode,WheelChairAccessible,BlockCode,VejoDepartureTime,DetectedUserStopCode,ExpectedDepartureTime,UserStopOrderNumber,ExtraJourney,JourneyModificationType,ShowCancelledStop,LinePlanningNumber,VehicleJourneyType,TimingPointDataOwnerCode,ExtraCall,UserStopCode,JourneyStopType,TargetDepartureTime,ExpectedArrivalTime,VejoJourneyNumber,IsTimingStop,DataOwnerCode,FortifyOrderNumber,JourneyNumber,JourneyPatternCode,LocalServiceLevelCode,LineDirection,DistanceSinceDetectedUserStop,LineVeTagNumber,LastUpdateTimeStamp,DestinationCode,OperationDate,SideCode,NumberOfCoaches,VehicleNumber,CancelledJourney,TripStopStatus,TargetArrivalTime
TRUE,1,06:36:00,0,FALSE,0,40300270,UNKNOWN,10456,06:01:00,40300270,2021-06-22T06:10:07,9,0,NONE,1,A051,PUJO,ALGEMEEN,0,40300270,INTERMEDIATE,06:10:00,2021-06-22T06:10:07,1,False,CXX,0,1,229505,6830279,1,462,51,2021-06-22T06:07:58+02:00,A05101013,2021-06-22,-,1,5370,0,DRIVING,06:10:00
TRUE,1,06:46:00,0,FALSE,0,40018241,UNKNOWN,10441,06:00:00,40018241,2021-06-22T06:18:39,7,0,NONE,1,A331,PUJO,ALGEMEEN,0,40018241,INTERMEDIATE,06:16:00,2021-06-22T06:18:39,1002,False,CXX,0,1002,193568,6830308,2,749,331,2021-06-22T06:07:58+02:00,A33109335,2021-06-22,-,1,5395,0,DRIVING,06:16:00
TRUE,187335,1,06:46:00,0,FALSE,0,61190190,UNKNOWN,30307,06:02:00,61190190,2021-06-22T06:07:40,5,0,NONE,1,A331,06:07:42,ALGEMEEN,0,61190190,INTERMEDIATE,06:09:00,2021-06-22T06:07:40,1003,PUJO,False,CXX,0,1003,229708,6830308,1,439,331,2021-06-22T06:07:58+02:00,A33117728,2021-06-22,-,1,5383,0,PASSED,06:09:00,430830
TRUE,1,06:46:00,0,FALSE,0,61190230,UNKNOWN,30307,06:02:00,61190230,2021-06-22T06:10:00,7,0,NONE,1,A331,PUJO,ALGEMEEN,0,61190230,INTERMEDIATE,06:10:00,2021-06-22T06:08:57,1003,True,CXX,0,1003,229708,6830308,1,176,331,2021-06-22T06:07:58+02:00,A33117728,2021-06-22,-,1,5383,0,DRIVING,06:10:00
TRUE,1,06:51:00,0,FALSE,0,36003540,UNKNOWN,700105,05:52:00,36003540,2021-06-22T06:13:42,29,0,NONE,1,H123,PUJO,ALGEMEEN,0,36003540,INTERMEDIATE,06:43:00,2021-06-22T06:13:42,1,False,CXX,0,1,222650,6830458,1,226,123,2021-06-22T06:07:58+02:00,H12300570,2021-06-22,-,1,7550,0,DRIVING,06:43:00
TRUE,161266,1,06:29:00,0,FALSE,0,64000010,UNKNOWN,1100007,06:07:00,64000010,2021-06-22T06:07:10,1,0,NONE,1,L401,06:07:12,ALGEMEEN,0,64000010,FIRST,06:07:00,2021-06-22T06:07:00,6,PUJO,True,CXX,0,6,278304,6830707,2,0,401,06:05:08,2021-06-22T06:07:58+02:00,L401159162,2021-06-22,-,1,9510,0,PASSED,06:07:00,383878
TRUE,1,06:18:00,0,FALSE,0,57232020,UNKNOWN,750007,05:55:00,57232020,2021-06-22T06:11:40,16,0,NONE,1,M195,PUJO,ALGEMEEN,0,57232020,INTERMEDIATE,06:10:00,2021-06-22T06:11:40,5,False,CXX,0,5,303090,6830778,1,428,195,2021-06-22T06:07:58+02:00,M19534388,2021-06-22,-,1,9714,0,DRIVING,06:10:00
TRUE,1,06:36:00,0,FALSE,0,56330630,UNKNOWN,620356,05:30:00,56330630,2021-06-22T06:13:16,15,0,NONE,1,M300,PUJO,ALGEMEEN,0,56330630,INTERMEDIATE,06:14:00,2021-06-22T06:13:16,6,False,CXX,0,6,260088,6830792,2,1391,300,2021-06-22T06:07:58+02:00,M30001403,2021-06-22,-,1,9352,0,DRIVING,06:14:00
TRUE,1,06:46:00,0,FALSE,0,57430730,UNKNOWN,620358,05:40:00,57430730,2021-06-22T06:14:34,10,0,NONE,1,M300,PUJO,ALGEMEEN,0,57430730,INTERMEDIATE,06:14:00,2021-06-22T06:14:34,8,False,CXX,0,8,260088,6830792,2,962,300,2021-06-22T06:07:58+02:00,M30001403,2021-06-22,-,1,9356,0,DRIVING,06:14:00
TRUE,1,07:20:00,0,FALSE,0,55040680,UNKNOWN,620366,06:10:00,55040680,2021-06-22T06:21:00,4,0,NONE,1,M300,PUJO,ALGEMEEN,0,55040680,INTERMEDIATE,06:21:00,2021-06-22T06:21:00,19,False,CXX,0,19,260029,6830792,1,1290,300,2021-06-22T06:07:58+02:00,M300143411,2021-06-22,-,1,9342,0,DRIVING,06:21:00
